,timestamp,subject,activity,heart_rate,breathing_rate
29313,161.71875,x010,Walking,90.53869484506484,30.000182927944685
23927,235.9375,x008,Walking,89.99984522540919,25.00015221106369
36356,249.31640625,x012,Walking,81.00016426739592,16.999786396374077
11924,264.16015625,x004,Walking,99.67912945608984,19.000152476576112
19681,121.38671875,x007,Walking,70.41368667120939,22.999892939543976
35923,207.03125,x012,Walking,82.99999632709755,17.99987795342857
21389,288.18359375,x007,Walking,67.99987118138428,25.00010654774507
34067,25.78125,x012,Walking,91.00059108399132,7.999847419659791
35174,133.88671875,x012,Walking,83.85109648170142,16.00013735770766
11311,204.296875,x004,Walking,97.00021466567202,19.000152476576112
17214,180.56640625,x006,Walking,99.8040711691641,25.00021607054066
5711,257.6171875,x002,Walking,127.00034190498206,34.0000351481406
9822,58.88671875,x004,Walking,99.8870978411354,13.886715208064729
9009,279.58984375,x003,Walking,103.00027938170778,24.00025926084012
39844,289.84375,x013,Walking,102.97286401695052,19.000061037018952
13677,135.25390625,x005,Walking,94.48393633002424,21.999862633137205
39458,252.1484375,x013,Walking,104.00023906978416,22.999893185216838
38277,136.81640625,x013,Walking,103.00020860010578,16.999954222235786
21851,33.203125,x008,Walking,94.73468423825054,21.734366561870686
2100,205.078125,x001,Walking,93.0,30.425824577008424
20381,189.74609375,x007,Walking,67.94568557318405,17.999999807733392
26133,151.26953125,x009,Walking,86.99957313913193,25.30869472334971
12756,45.3125,x005,Walking,96.00017224647536,23.00010677968672
32502,173.046875,x011,Walking,97.2341185910286,23.765678884243293
33304,251.3671875,x011,Walking,106.55488298663788,27.00003051850948
11545,227.1484375,x004,Walking,96.14836676082425,18.000091445661234
11616,234.08203125,x004,Walking,97.00021466567202,18.000091445661234
31116,37.6953125,x011,Walking,104.11749181296766,22.117069002349925
8970,275.78125,x003,Walking,103.273954127962,23.726431936238093
31479,73.14453125,x011,Walking,103.9993394085795,26.3319803460799
1775,173.33984375,x001,Walking,94.0,26.99996931669076
23355,180.078125,x008,Walking,91.0000891796452,25.99993856624136
35543,169.921875,x012,Walking,83.8169004933468,18.999969510483066
37282,39.6484375,x013,Walking,113.99956717431236,13.000122074037904
36455,258.984375,x012,Walking,80.24658600550708,16.999786396374077
22716,117.67578125,x008,Walking,92.00033313388118,23.00012172307319
27674,1.66015625,x010,Walking,86.48077083172912,11.99990837122771
12600,30.078125,x005,Walking,103.6604710681694,21.660069549149952
15410,4.39453125,x006,Walking,78.02362132633442,20.0000751974311
15954,57.51953125,x006,Walking,96.0002441480758,26.148685927333013
13903,157.32421875,x005,Walking,99.58647875544658,18.999999971007416
477,46.58203125,x001,Walking,96.0,28.929593622061255
36475,260.9375,x012,Walking,81.1990076070876,16.999786396374077
3768,67.87109375,x002,Walking,125.99945681933444,32.999974872604355
32901,212.01171875,x011,Walking,101.80090815389656,25.00015259254738
28129,46.09375,x010,Walking,95.99950892057456,29.914074953983736
9118,290.234375,x003,Walking,103.00027938170778,22.999801489304478
34132,32.12890625,x012,Walking,88.99949250620246,7.999847419659791
27564,291.015625,x009,Walking,86.99957313913193,24.0
1733,169.23828125,x001,Walking,95.0,26.99996931669076
37401,51.26953125,x013,Walking,111.00045235753277,11.000015259254738
4984,186.62109375,x002,Walking,121.28947398489818,30.999854321531867
20483,199.70703125,x007,Walking,68.99974900817334,20.99999977568896
27987,32.2265625,x010,Walking,98.95331907084405,23.99981674245542
2223,217.08984375,x001,Walking,93.0,28.00003034760564
38293,138.37890625,x013,Walking,103.00020860010578,16.999954222235786
26278,165.4296875,x009,Walking,85.46861210426013,25.00021362956633
18314,287.98828125,x006,Walking,97.00003051850948,26.999784124777342
16256,87.01171875,x006,Walking,98.9996032593768,31.999924997886904
33439,264.55078125,x011,Walking,104.26219531946552,25.00015259254738
16786,138.76953125,x006,Walking,98.3989989928892,31.999924997886904
18470,3.125,x007,Walking,69.32384028740864,16.00010664387837
20690,219.921875,x007,Walking,66.00011552780616,22.999892939543976
22626,108.88671875,x008,Walking,92.00033313388118,23.99990807825086
7600,141.9921875,x003,Walking,104.000294686741,25.0001524399539
794,77.5390625,x001,Walking,93.8864711447493,31.113345554287264
1630,159.1796875,x001,Walking,94.0,29.000091378520512
17765,234.375,x006,Walking,97.99981688894314,25.999755950155432
3383,30.2734375,x002,Walking,125.99945681933444,38.36333942181712
31472,72.4609375,x011,Walking,103.9993394085795,25.648365733817563
16301,91.40625,x006,Walking,98.9996032593768,27.999812299399256
22256,72.75390625,x008,Walking,95.0000121082163,23.99990807825086
7841,165.52734375,x003,Walking,103.00027938170778,24.00025926084012
36738,286.62109375,x012,Walking,82.11723322031348,16.00013735770766
23,2.24609375,x001,Walking,83.0,27.40617067533695
1922,187.6953125,x001,Walking,93.0,30.00015240943539
10572,132.12890625,x004,Walking,102.99957384105504,19.129062659815894
24201,262.6953125,x008,Walking,87.22653725124329,27.00018269905419
34804,97.75390625,x012,Walking,82.01591177333684,15.000045800653169
17558,214.16015625,x006,Walking,97.99981688894314,27.78886885631495
30526,280.17578125,x010,Walking,92.99545004590968,28.9998472304462
6871,70.80078125,x003,Walking,100.74602957606874,20.00012195196312
13119,80.76171875,x005,Walking,97.00018755150856,21.999862633137205
9665,43.5546875,x004,Walking,98.55469022169078,13.999847322001724
32182,141.796875,x011,Walking,95.99949234292764,28.000122074037904
28425,75.0,x010,Walking,93.18014805990354,26.000076137576976
11538,226.46484375,x004,Walking,96.00032146977485,18.000091445661234
20586,209.765625,x007,Walking,68.9649884293279,23.999999743644523
30115,240.0390625,x010,Walking,88.00045522628156,27.999923532823125
38667,174.90234375,x013,Walking,101.00014766074904,14.914014099551377
19,1.85546875,x001,Walking,83.0,27.79692966828254
34784,95.80078125,x012,Walking,80.0629408828619,15.000045800653169
28285,61.328125,x010,Walking,95.99950892057456,27.85160357767508
11539,226.5625,x004,Walking,96.00032146977485,18.000091445661234
31029,29.19921875,x011,Walking,107.38726003777693,26.613361003448592
25577,96.97265625,x009,Walking,88.99946633350383,24.011535996581927
4491,138.4765625,x002,Walking,125.99945681933444,34.0000351481406
7010,84.375,x003,Walking,101.67989600878455,22.999801489304478
8939,272.75390625,x003,Walking,104.000294686741,22.69943832087504
33273,248.33984375,x011,Walking,104.52770634056247,27.00003051850948
10853,159.5703125,x004,Walking,102.99957384105504,19.000152476576112
15112,275.390625,x005,Walking,102.00026407667458,20.999908412427278
8932,272.0703125,x003,Walking,104.000294686741,22.015716898002765
14821,246.97265625,x005,Walking,94.7653932965511,20.999908412427278
29890,218.06640625,x010,Walking,93.8863463487036,24.88685247421581
13271,95.60546875,x005,Walking,94.00014163640896,23.00010677968672
37322,43.5546875,x013,Walking,114.26129389879848,12.261574144718772
30688,295.99609375,x010,Walking,91.99998207342806,26.000076137576976
1325,129.39453125,x001,Walking,91.0,24.000121927548317
24162,258.88671875,x008,Walking,87.58241352127672,25.99993856624136
16158,77.44140625,x006,Walking,98.9996032593768,30.070183129671182
15050,269.3359375,x005,Walking,98.00020285654178,20.999908412427278
35410,156.93359375,x012,Walking,84.00054561599197,20.000061067537555
27508,285.546875,x009,Walking,86.99957313913193,24.0
13827,149.90234375,x005,Walking,96.00017224647536,18.999999971007416
29850,214.16015625,x010,Walking,92.01899510428036,25.019516434098232
5907,276.7578125,x002,Walking,123.00009756157586,32.999974872604355
12465,16.89453125,x005,Walking,104.15593909219363,21.999862633137205
18839,39.16015625,x007,Walking,77.9996718192409,23.999999743644523
20497,201.07421875,x007,Walking,69.27374415907259,22.000106579789502
26120,150.0,x009,Walking,86.99957313913193,25.00021362956633
26894,225.5859375,x009,Walking,84.99967994476003,25.00021362956633
25016,42.1875,x009,Walking,95.54643434955794,22.2264473403119
7563,138.37890625,x003,Walking,103.00027938170778,25.0001524399539
12485,18.84765625,x005,Walking,107.10929168565744,21.999862633137205
38102,119.7265625,x013,Walking,104.00023906978416,14.99984740745262
4413,130.859375,x002,Walking,129.99970116274062,33.050833929920145
15573,20.3125,x006,Walking,93.99945066682945,23.00015972129684
31730,97.65625,x011,Walking,98.00011788689336,25.999938962981048
39104,217.578125,x013,Walking,101.00014766074904,24.00013733329264
896,87.5,x001,Walking,95.0,26.99996931669076
28574,89.55078125,x010,Walking,91.99998207342806,22.999893044832344
12401,10.64453125,x005,Walking,100.09362010987977,22.90617080766293
19112,65.8203125,x007,Walking,70.98007963239665,24.980559442634483
21668,15.33203125,x008,Walking,92.1372086223556,17.000030259101685
3057,298.53515625,x001,Walking,91.0,26.99996931669076
27545,289.16015625,x009,Walking,88.0001224768828,24.0
6922,75.78125,x003,Walking,104.72663524551996,21.000015131076907
31834,107.8125,x011,Walking,95.99949234292764,28.99990844447157
14435,209.27734375,x005,Walking,93.00012633137575,22.5391246947552
21298,279.296875,x007,Walking,65.0002377010171,22.999892939543976
16791,139.2578125,x006,Walking,98.88729514450516,31.999924997886904
4998,187.98828125,x002,Walking,119.9216343233929,29.921743017441685
25397,79.39453125,x009,Walking,91.00056500900554,25.56633198034608
14921,256.73828125,x005,Walking,92.00011102634257,19.999954191717347
32278,151.171875,x011,Walking,101.00039242528918,29.64049195837276
32670,189.453125,x011,Walking,98.00011788689336,28.000122074037904
39577,263.76953125,x013,Walking,103.00020860010578,23.95321512497329
8772,256.4453125,x003,Walking,102.00026407667458,19.000228772849336
1757,171.58203125,x001,Walking,94.07000946073794,26.99996931669076
8728,252.1484375,x003,Walking,102.9055957017241,20.00012195196312
27509,285.64453125,x009,Walking,86.99957313913193,24.0
7465,128.80859375,x003,Walking,104.000294686741,24.00025926084012
26344,171.875,x009,Walking,84.99967994476003,25.00021362956633
31246,50.390625,x011,Walking,98.00011788689336,22.999969481490524
21186,268.359375,x007,Walking,64.44100132959214,20.99999977568896
34851,102.34375,x012,Walking,81.00016426739592,15.000045800653169
