,timestamp,subject,activity,heart_rate,breathing_rate
8130,193.75,x003,Rest,85.00000389111014,15.00009146397234
3584,49.90234375,x002,Rest,121.8827538380812,28.76558068479757
12508,21.09375,x005,Rest,68.99975901057888,14.999893162328114
4531,142.3828125,x002,Rest,112.0002496170049,21.999815396728597
21090,258.984375,x007,Rest,61.99958185068389,16.999893003632845
22003,48.046875,x008,Rest,90.9685025284588,12.000182927943008
34931,110.15625,x012,Rest,73.25413964603099,15.000045800653169
4621,151.171875,x002,Rest,113.00003603625775,20.99975512119235
8730,252.34375,x003,Rest,84.32035665396695,12.999740513322912
28579,90.0390625,x010,Rest,76.00051661120973,10.999984673604636
26566,193.5546875,x009,Rest,75.99955782952158,5.000213629566332
3326,24.70703125,x002,Rest,114.99960887476348,29.99979404599562
20839,234.47265625,x007,Rest,65.73020985677108,16.999893003632845
30890,15.625,x011,Rest,84.99937073888,20.0
27431,278.02734375,x009,Rest,77.00010716727243,5.000213629566332
39064,213.671875,x013,Rest,120.99978046206095,7.000183111056856
26232,160.9375,x009,Rest,69.99987824640588,5.000213629566332
32615,184.08203125,x011,Rest,88.98070850022913,15.999938962981048
19203,74.70703125,x007,Rest,64.96445475220564,11.99999987182226
11903,262.109375,x004,Rest,84.65605730245736,18.000091445661234
34628,80.56640625,x012,Rest,74.15590052412318,16.999786396374077
19839,136.81640625,x007,Rest,61.92597121312887,14.999999839777828
30770,3.90625,x011,Rest,84.99937073888,21.999877925962096
2347,229.19921875,x001,Rest,122.63670766319773,14.999908352916602
33797,299.51171875,x011,Rest,89.00062182681141,18.000122074037904
1678,163.8671875,x001,Rest,112.0,13.999847322001724
11926,264.35546875,x004,Rest,83.41059691743854,18.000091445661234
4227,112.6953125,x002,Rest,112.67592944979666,27.00011677440982
32405,163.57421875,x011,Rest,85.9459175290907,15.999938962981048
31145,40.52734375,x011,Rest,86.0003472884156,14.99984740745262
8542,233.984375,x003,Rest,85.00000389111014,15.00009146397234
32370,160.15625,x011,Rest,84.99937073888,15.999938962981048
37477,58.69140625,x013,Rest,115.29257532065432,7.293160802026429
21200,269.7265625,x007,Rest,60.9843684744042,16.00010664387837
30960,22.4609375,x011,Rest,86.3587871668965,18.000122074037904
26131,151.07421875,x009,Rest,71.00042758415674,5.000213629566332
10297,105.2734375,x004,Rest,79.99968041016535,18.000091445661234
1470,143.5546875,x001,Rest,112.0,16.28128900246413
21517,0.5859375,x008,Rest,85.85883525487216,17.000030259101685
13195,88.18359375,x005,Rest,66.99972840051248,13.999938941618185
37108,22.65625,x013,Rest,111.00045235753277,7.000183111056856
23792,222.75390625,x008,Rest,93.52386260943854,14.738150963802743
17168,176.07421875,x006,Rest,75.89831232642598,16.999990673565364
35653,180.6640625,x012,Rest,77.00050014799264,13.999954243598674
27605,295.01953125,x009,Rest,77.25808012905398,6.0
25350,74.8046875,x009,Rest,66.99943571428312,6.0
35159,132.421875,x012,Rest,68.99990539109889,16.00013735770766
38730,181.0546875,x013,Rest,116.65589810939552,7.000183111056856
34184,37.20703125,x012,Rest,68.7972624971456,6.000106823938882
14109,177.44140625,x005,Rest,69.54710850308733,13.999938941618185
26470,184.1796875,x009,Rest,73.58256816423186,5.000213629566332
11247,198.046875,x004,Rest,84.00042815638142,19.000152476576112
19429,96.77734375,x007,Rest,63.000482047438986,10.999893067721716
18279,284.5703125,x006,Rest,73.00027466658528,13.999906149699628
5386,225.87890625,x002,Rest,113.85919315697834,20.99975512119235
275,26.85546875,x001,Rest,99.01986754966887,19.000152476576112
21425,291.69921875,x007,Rest,63.95742033565429,17.999999807733392
25563,95.60546875,x009,Rest,69.00053438978485,6.0
32493,172.16796875,x011,Rest,89.00062182681141,17.000030518509476
33479,268.45703125,x011,Rest,90.99991981567165,14.99984740745262
22975,142.96875,x008,Rest,97.9996910825514,11.953031831522082
12125,283.7890625,x004,Rest,81.02307285861005,13.999847322001724
17542,212.59765625,x006,Rest,73.00027466658528,14.99993432432154
25209,61.03515625,x009,Rest,64.99954251991123,6.999786370433668
5041,192.1875,x002,Rest,120.16773559582435,26.000056498873573
28874,118.84765625,x010,Rest,73.00053195744178,11.99990837122771
28808,112.40234375,x010,Rest,73.00053195744178,11.99990837122771
25186,58.7890625,x009,Rest,64.02792472927607,6.999786370433668
10133,89.2578125,x004,Rest,77.00000082247384,17.00003041474636
30380,265.91796875,x010,Rest,77.1956214076406,16.000015161595417
13921,159.08203125,x005,Rest,67.99974370554568,14.999893162328114
6054,291.11328125,x002,Rest,118.0934534424734,30.093958835283274
16421,103.125,x006,Rest,73.00027466658528,12.999877975077716
34899,107.03125,x012,Rest,77.7578779641431,15.000045800653169
1185,115.72265625,x001,Rest,108.0,17.886623628122052
21478,296.875,x007,Rest,65.0002377010171,16.999893003632845
26534,190.4296875,x009,Rest,75.66805051882099,5.000213629566332
25526,91.9921875,x009,Rest,71.53927764918643,6.0
38309,139.94140625,x013,Rest,120.45679516797776,7.457197790459913
8118,192.578125,x003,Rest,85.00000389111014,15.00009146397234
25020,42.578125,x009,Rest,62.99964932553933,8.999786370433668
19238,78.125,x007,Rest,65.61672679054041,11.99999987182226
17045,164.0625,x006,Rest,74.99984740745262,15.999962498943452
5395,226.7578125,x002,Rest,114.73812627280502,20.99975512119235
3310,23.14453125,x002,Rest,114.99960887476348,30.87497267584557
36547,267.96875,x012,Rest,74.00011879939659,16.00013735770766
5700,256.54296875,x002,Rest,118.0000667989168,27.00011677440982
14783,243.26171875,x005,Rest,77.99989675587771,14.999893162328114
11514,224.12109375,x004,Rest,80.6447348925949,13.999847322001724
24990,39.6484375,x009,Rest,64.22682911569642,8.0
3285,20.703125,x002,Rest,114.68319295306586,26.050915556189363
14722,237.3046875,x005,Rest,75.99986614581131,14.999893162328114
31042,30.46875,x011,Rest,84.99937073888,14.99984740745262
17525,210.9375,x006,Rest,73.00027466658528,15.999962498943452
18907,45.80078125,x007,Rest,59.99982619710577,14.941358524446072
4376,127.24609375,x002,Rest,114.22614773283598,24.77339646301945
22521,98.6328125,x008,Rest,92.46886845981278,8.000121951962006
3029,295.80078125,x001,Rest,126.0,15.964720505601852
27764,10.44921875,x010,Rest,74.27304695091419,12.999832068850782
25278,67.7734375,x009,Rest,66.03505081042688,6.999786370433668
7618,143.75,x003,Rest,85.00000389111014,15.00009146397234
11472,220.01953125,x004,Rest,84.00042815638142,14.999908352916602
7561,138.18359375,x003,Rest,85.84048368055439,15.839640395277929
32669,189.35546875,x011,Rest,94.99984334849756,14.99984740745262
1421,138.76953125,x001,Rest,110.93377483443707,17.06649972797937
6790,62.890625,x003,Rest,84.13228633071168,10.999954155095343
5404,227.63671875,x002,Rest,115.6170593886317,20.99975512119235
9738,50.68359375,x004,Rest,78.08214140228735,14.999908352916602
17701,228.125,x006,Rest,75.8470412305063,12.999877975077716
671,65.52734375,x001,Rest,101.30842005676443,16.691518804336564
37151,26.85546875,x013,Rest,111.45749753312796,7.000183111056856
9908,67.28515625,x004,Rest,84.00042815638142,16.480361238560985
38049,114.55078125,x013,Rest,118.9997195227042,8.000045777764214
19207,75.09765625,x007,Rest,65.0002377010171,11.99999987182226
13167,85.44921875,x005,Rest,66.99972840051248,13.999938941618185
39125,219.62890625,x013,Rest,125.99993281045282,7.000183111056856
10142,90.13671875,x004,Rest,77.37128901272473,17.00003041474636
3797,70.703125,x002,Rest,118.99985321816966,24.683763668938152
39641,270.01953125,x013,Rest,120.99978046206095,8.000045777764214
26817,218.06640625,x009,Rest,71.69478471493325,5.000213629566332
21772,25.48828125,x008,Rest,88.99960127117319,16.52714596198697
15486,11.81640625,x006,Rest,73.00027466658528,20.0000751974311
13797,146.97265625,x005,Rest,67.99974370554568,13.999938941618185
20461,197.55859375,x007,Rest,58.99994837031672,16.999893003632845
37016,13.671875,x013,Rest,112.72609087308128,7.000183111056856
25217,61.81640625,x009,Rest,64.99954251991123,6.999786370433668
8194,200.0,x003,Rest,87.97670314539185,15.00009146397234
31504,75.5859375,x011,Rest,89.00062182681141,14.000061037018952
3266,18.84765625,x002,Rest,113.9998224555106,22.99987567226484
25591,98.33984375,x009,Rest,74.15637718202632,6.0
1642,160.3515625,x001,Rest,112.0,13.999847322001724
30871,13.76953125,x011,Rest,85.3325870703567,21.000091555528428
5516,238.57421875,x002,Rest,122.44527103221029,22.99987567226484
5921,278.125,x002,Rest,117.00028037966396,20.000198400679032
12280,298.92578125,x004,Rest,83.00053496048425,10.99999993285928
29796,208.88671875,x010,Rest,74.99961634419887,12.999832068850782
2701,263.76953125,x001,Rest,126.06622516556293,17.00003041474636
14936,258.203125,x005,Rest,78.99991206091092,17.000091529587554
32543,177.05078125,x011,Rest,86.9999962828457,17.000030518509476
